Episode,Agent,TotalReward,Status,Epsilon
10,42,-118.50,TimedOut,0.9511
10,43,267.80,ReachedGoal,0.9511
10,44,-197.20,TimedOut,0.9511
10,45,-138.60,TimedOut,0.9511
10,46,-119.30,TimedOut,0.9511
10,47,-99.00,TimedOut,0.9511
10,48,-138.90,TimedOut,0.9511
10,49,-90.00,TimedOut,0.9511
11,0,-97.30,TimedOut,0.9464
11,1,-130.00,TimedOut,0.9464
11,2,-129.20,TimedOut,0.9464
11,3,-294.80,TimedOut,0.9464
11,4,-99.70,TimedOut,0.9464
11,5,-148.40,TimedOut,0.9464
11,6,-60.00,TimedOut,0.9464
11,7,-90.40,TimedOut,0.9464
11,8,-286.40,TimedOut,0.9464
11,9,-88.20,TimedOut,0.9464
11,10,-178.90,TimedOut,0.9464
11,11,-217.50,TimedOut,0.9464
11,12,-131.10,TimedOut,0.9464
11,13,-109.70,TimedOut,0.9464
11,14,-68.90,TimedOut,0.9464
11,15,-178.90,TimedOut,0.9464
11,16,-69.90,TimedOut,0.9464
11,17,-196.40,TimedOut,0.9464
11,18,-100.50,TimedOut,0.9464
11,19,-60.00,TimedOut,0.9464
11,20,-287.70,TimedOut,0.9464
11,21,-147.80,TimedOut,0.9464
11,22,-69.60,TimedOut,0.9464
11,23,-108.50,TimedOut,0.9464
11,24,-298.10,TimedOut,0.9464
11,25,-218.30,TimedOut,0.9464
11,26,-236.50,TimedOut,0.9464
11,27,-99.20,TimedOut,0.9464
11,28,-168.10,TimedOut,0.9464
11,29,-187.80,TimedOut,0.9464
11,30,-168.50,TimedOut,0.9464
11,31,-120.40,TimedOut,0.9464
11,32,-59.60,TimedOut,0.9464
11,33,-227.10,TimedOut,0.9464
11,34,-88.40,TimedOut,0.9464
11,35,-70.30,TimedOut,0.9464
11,36,-178.20,TimedOut,0.9464
11,37,-139.60,TimedOut,0.9464
11,38,-70.90,TimedOut,0.9464
11,39,-119.20,TimedOut,0.9464
11,40,-99.70,TimedOut,0.9464
11,41,-139.30,TimedOut,0.9464
11,42,-108.70,TimedOut,0.9464
11,43,-78.30,TimedOut,0.9464
11,44,-61.00,TimedOut,0.9464
11,45,-276.20,TimedOut,0.9464
11,46,256.80,ReachedGoal,0.9464
11,47,-109.70,TimedOut,0.9464
11,48,-366.40,TimedOut,0.9464
11,49,-129.20,TimedOut,0.9464
12,0,-128.60,TimedOut,0.9416
12,1,-149.50,TimedOut,0.9416
12,2,-149.40,TimedOut,0.9416
12,3,-81.30,TimedOut,0.9416
12,4,-101.00,TimedOut,0.9416
12,5,172.60,ReachedGoal,0.9416
12,6,-70.50,TimedOut,0.9416
12,7,-99.70,TimedOut,0.9416
12,8,-110.50,TimedOut,0.9416
12,9,-71.10,TimedOut,0.9416
12,10,-108.50,TimedOut,0.9416
12,11,-157.70,TimedOut,0.9416
12,12,-247.00,TimedOut,0.9416
12,13,-100.00,TimedOut,0.9416
12,14,-177.70,TimedOut,0.9416
12,15,-148.30,TimedOut,0.9416
12,16,-187.00,TimedOut,0.9416
12,17,-129.90,TimedOut,0.9416
12,18,-80.20,TimedOut,0.9416
12,19,-99.40,TimedOut,0.9416
12,20,-91.10,TimedOut,0.9416
12,21,-374.80,TimedOut,0.9416
12,22,-189.80,TimedOut,0.9416
12,23,-100.10,TimedOut,0.9416
12,24,275.00,ReachedGoal,0.9416
12,25,-79.50,TimedOut,0.9416
12,26,-218.30,TimedOut,0.9416
12,27,-159.00,TimedOut,0.9416
12,28,-128.60,TimedOut,0.9416
12,29,-100.30,TimedOut,0.9416
12,30,-109.20,TimedOut,0.9416
12,31,-81.80,TimedOut,0.9416
12,32,-266.70,TimedOut,0.9416
12,33,-108.30,TimedOut,0.9416
12,34,286.60,ReachedGoal,0.9416
12,35,-119.60,TimedOut,0.9416
12,36,-109.00,TimedOut,0.9416
12,37,-157.90,TimedOut,0.9416
12,38,-80.40,TimedOut,0.9416
12,39,-59.40,TimedOut,0.9416
12,40,-157.10,TimedOut,0.9416
12,41,-265.90,TimedOut,0.9416
12,42,-119.20,TimedOut,0.9416
12,43,-197.90,TimedOut,0.9416
12,44,-178.20,TimedOut,0.9416
12,45,-70.90,TimedOut,0.9416
12,46,-128.10,TimedOut,0.9416
12,47,-266.60,TimedOut,0.9416
12,48,-69.40,TimedOut,0.9416
12,49,-118.80,TimedOut,0.9416
13,0,-90.50,TimedOut,0.9369
13,1,-88.60,TimedOut,0.9369
13,2,-79.20,TimedOut,0.9369
13,3,-238.70,TimedOut,0.9369
13,4,-68.90,TimedOut,0.9369
13,5,-245.50,TimedOut,0.9369
13,6,-335.00,TimedOut,0.9369
13,7,-69.20,TimedOut,0.9369
13,8,-119.60,TimedOut,0.9369
13,9,-159.10,TimedOut,0.9369
13,10,-207.40,TimedOut,0.9369
13,11,-197.60,TimedOut,0.9369
13,12,-119.60,TimedOut,0.9369
13,13,-121.10,TimedOut,0.9369
13,14,-70.50,TimedOut,0.9369
13,15,-89.40,TimedOut,0.9369
13,16,-89.40,TimedOut,0.9369
13,17,-149.40,TimedOut,0.9369
13,18,-287.60,TimedOut,0.9369
13,19,-58.80,TimedOut,0.9369
13,20,-108.60,TimedOut,0.9369
13,21,-118.50,TimedOut,0.9369
13,22,-148.50,TimedOut,0.9369
13,23,-99.90,TimedOut,0.9369
13,24,-79.10,TimedOut,0.9369
13,25,-79.00,TimedOut,0.9369
13,26,-198.30,TimedOut,0.9369
13,27,-60.80,TimedOut,0.9369
13,28,-149.90,TimedOut,0.9369
13,29,-129.00,TimedOut,0.9369
13,30,-108.30,TimedOut,0.9369
13,31,-169.50,TimedOut,0.9369
13,32,-89.60,TimedOut,0.9369
13,33,-91.00,TimedOut,0.9369
13,34,-198.20,TimedOut,0.9369
13,35,-198.30,TimedOut,0.9369
13,36,-227.10,TimedOut,0.9369
13,37,-267.00,TimedOut,0.9369
13,38,-78.70,TimedOut,0.9369
13,39,-108.70,TimedOut,0.9369
13,40,-159.70,TimedOut,0.9369
13,41,-99.30,TimedOut,0.9369
13,42,285.30,ReachedGoal,0.9369
13,43,-80.60,TimedOut,0.9369
13,44,-217.70,TimedOut,0.9369
13,45,-335.10,TimedOut,0.9369
13,46,-355.10,TimedOut,0.9369
13,47,-109.10,TimedOut,0.9369
13,48,-80.20,TimedOut,0.9369
13,49,-100.40,TimedOut,0.9369
14,0,-70.80,TimedOut,0.9322
14,1,-295.20,TimedOut,0.9322
14,2,-246.40,TimedOut,0.9322
14,3,-138.70,TimedOut,0.9322
14,4,-89.20,TimedOut,0.9322
14,5,-79.00,TimedOut,0.9322
14,6,-258.80,TimedOut,0.9322
14,7,-79.60,TimedOut,0.9322
14,8,-60.30,TimedOut,0.9322
14,9,-61.30,TimedOut,0.9322
14,10,-88.20,TimedOut,0.9322
14,11,-178.00,TimedOut,0.9322
14,12,-70.30,TimedOut,0.9322
14,13,-177.70,TimedOut,0.9322
14,14,-148.60,TimedOut,0.9322
14,15,-355.70,TimedOut,0.9322
14,16,-197.20,TimedOut,0.9322
14,17,-109.70,TimedOut,0.9322
14,18,-119.40,TimedOut,0.9322
14,19,-79.60,TimedOut,0.9322
14,20,-138.20,TimedOut,0.9322
14,21,-90.30,TimedOut,0.9322
14,22,-256.40,TimedOut,0.9322
14,23,-108.20,TimedOut,0.9322
14,24,-99.90,TimedOut,0.9322
14,25,-130.10,TimedOut,0.9322
14,26,-148.30,TimedOut,0.9322
14,27,-80.70,TimedOut,0.9322
14,28,-100.60,TimedOut,0.9322
14,29,-178.00,TimedOut,0.9322
14,30,-118.50,TimedOut,0.9322
14,31,-208.50,TimedOut,0.9322
14,32,-306.60,TimedOut,0.9322
14,33,297.30,ReachedGoal,0.9322
14,34,-208.00,TimedOut,0.9322
14,35,-90.30,TimedOut,0.9322
14,36,-99.10,TimedOut,0.9322
14,37,-129.50,TimedOut,0.9322
14,38,-179.10,TimedOut,0.9322
14,39,-67.50,TimedOut,0.9322
14,40,-99.30,TimedOut,0.9322
14,41,-71.00,TimedOut,0.9322
14,42,-207.50,TimedOut,0.9322
14,43,-149.00,TimedOut,0.9322
